video_id,frames,real_auc,zero_ce_auc,auc_delta_zero_ce_minus_real,real_ap,zero_ce_ap
05_0022,304,0.18786925862397558,0.13664951400800457,-0.05121974461597101,0.22335799438219697,0.21689305941005238
03_0033,280,0.25633728590250326,0.14397891963109355,-0.11235836627140972,0.28830921699411016,0.2618154018877567
12_0173,184,0.2657200811359026,0.33696754563894527,0.07124746450304265,0.4831941411244562,0.51208631085277
04_0010,472,0.2723087098087098,0.3742623117623118,0.10195360195360198,0.15250224844196705,0.18022714132280043
10_0038,208,0.32465483234714004,0.4666666666666667,0.14201183431952663,0.9247178423934039,0.9428847738977306
03_0035,352,0.7750038349440098,0.4593879429360332,-0.31561589200797663,0.4715840040581398,0.2641594643658993
07_0005,376,0.7762463343108504,0.5174486803519062,-0.2587976539589443,0.29472528843286644,0.16836232084283625
04_0046,496,0.7792854565138939,0.6143269577769759,-0.16495849873691804,0.6030313501377313,0.4257249707185033
03_0061,208,0.7797402597402598,0.3748917748917749,-0.40484848484848496,0.34044264268256574,0.12511012778341124
12_0148,280,0.7861883604848884,0.7506445066096209,-0.035543853875267484,0.885890902432581,0.8534873504662179
06_0150,232,0.9893724696356276,0.7934379217273954,-0.19593454790823228,0.993640009086583,0.9012416200637023
01_0135,376,0.9912571089041677,0.9492403021814787,-0.04201680672268904,0.9932495189833859,0.9591276424312951
01_0139,184,0.9980580167496055,0.9711129991503823,-0.026945017599223187,0.9986085120347078,0.9797834290070204
01_0129,208,0.999443413729128,0.9427643784786642,-0.056679035250463805,0.9993855686852086,0.9348104848567986
01_0064,256,1.0,0.9933533447684391,-0.006646655231560938,1.0,0.9985714458373249
